net,length_um
net11,1.84
net30,1.84
net56,1.84
_055_,1.82
net42,1.82
_000_,1.7
row\[0\].col\[2\].pe_inst.b_out_valid,1.7
row\[1\].col\[0\].pe_inst.b_out_valid,1.7
net26,1.7
row\[0\].col\[3\].pe_inst.b_out_valid,1.6
_098_,1.48
_042_,1.36
net55,1.02
net60,0.92
net66,0.92
_041_,0.46
_148_,0.46
